ID,Name,Address,City,Phone,Lat,Lng,Map
81,Amrutha Hospital,Kengeri,Bengaluru,+91-8050311111,12.9099,77.4834,Map
82,Swasthi Hospital,RR Nagar,Bengaluru,+91-8050322222,12.9221,77.5201,Map
83,Pranav Hospital,Nagarbhavi,Bengaluru,+91-8050333333,12.9632,77.5066,Map
84,City Health Hospital,Mysore Road,Bengaluru,+91-8050344444,12.8979,77.4681,Map
85,Sri Nandi Hospital,Kumbalgodu,Bengaluru,+91-8050355555,12.8868,77.4463,Map
86,Goodwill Hospital,Kengeri,Bengaluru,+91-8050366666,12.9072,77.4791,Map
87,TrustCare Hospital,RR Nagar,Bengaluru,+91-8050377777,12.9189,77.5158,Map
88,Divine Hospital,Nagarbhavi,Bengaluru,+91-8050388888,12.9609,77.5042,Map
89,New Life Hospital,Mysore Road,Bengaluru,+91-8050399999,12.8989,77.4708,Map
90,Sri Vinayaka Hospital,Kumbalgodu,Bengaluru,+91-8050400000,12.8839,77.4413,Map
91,Arogya Plus Hospital,Kengeri,Bengaluru,+91-8050411111,12.9101,77.4849,Map
92,Swasthik Hospital,RR Nagar,Bengaluru,+91-8050422222,12.9216,77.5197,Map
93,Shiva Hospital,Nagarbhavi,Bengaluru,+91-8050433333,12.9621,77.5079,Map
94,Metro Care Hospital,Mysore Road,Bengaluru,+91-8050444444,12.8975,77.4673,Map
95,Sri Tulasi Hospital,Kumbalgodu,Bengaluru,+91-8050455555,12.8859,77.4447,Map
96,WellLife Hospital,Kengeri,Bengaluru,+91-8050466666,12.9087,77.4813,Map
97,HopeCare Hospital,RR Nagar,Bengaluru,+91-8050477777,12.9197,77.5164,Map
98,Sri Vishwa Hospital,Nagarbhavi,Bengaluru,+91-8050488888,12.9617,77.5051,Map
99,City Trust Hospital,Mysore Road,Bengaluru,+91-8050499999,12.8994,77.4721,Map
100,Sri Manjunatha Hospital,Kumbalgodu,Bengaluru,+91-8050500000,12.8843,77.4435,Map
